song	album_name	release_date	popularity	duration	danceability	date	rank
tim mcgraw	Taylor Swift	2006-10-24	63.0	232106.0	0.58	2006-09-23	86.0
tim mcgraw	Taylor Swift	2006-10-24	63.0	232106.0	0.58	2006-09-30	87.0
tim mcgraw	Taylor Swift	2006-10-24	63.0	232106.0	0.58	2006-10-07	77.0
tim mcgraw	Taylor Swift	2006-10-24	63.0	232106.0	0.58	2006-10-14	72.0
tim mcgraw	Taylor Swift	2006-10-24	63.0	232106.0	0.58	2006-10-21	68.0
tim mcgraw	Taylor Swift	2006-10-24	63.0	232106.0	0.58	2006-10-28	65.0
tim mcgraw	Taylor Swift	2006-10-24	63.0	232106.0	0.58	2006-11-04	61.0
tim mcgraw	Taylor Swift	2006-10-24	63.0	232106.0	0.58	2006-11-11	51.0
tim mcgraw	Taylor Swift	2006-10-24	63.0	232106.0	0.58	2006-11-18	51.0
tim mcgraw	Taylor Swift	2006-10-24	63.0	232106.0	0.58	2006-11-25	47.0
tim mcgraw	Taylor Swift	2006-10-24	63.0	232106.0	0.58	2006-12-02	48.0
tim mcgraw	Taylor Swift	2006-10-24	63.0	232106.0	0.58	2006-12-09	45.0
tim mcgraw	Taylor Swift	2006-10-24	63.0	232106.0	0.58	2006-12-16	44.0
tim mcgraw	Taylor Swift	2006-10-24	63.0	232106.0	0.58	2006-12-23	46.0
tim mcgraw	Taylor Swift	2006-10-24	63.0	232106.0	0.58	2006-12-30	45.0
tim mcgraw	Taylor Swift	2006-10-24	63.0	232106.0	0.58	2007-01-06	48.0
tim mcgraw	Taylor Swift	2006-10-24	63.0	232106.0	0.58	2007-01-13	40.0
tim mcgraw	Taylor Swift	2006-10-24	63.0	232106.0	0.58	2007-01-20	43.0
tim mcgraw	Taylor Swift	2006-10-24	63.0	232106.0	0.58	2007-01-27	40.0
tim mcgraw	Taylor Swift	2006-10-24	63.0	232106.0	0.58	2007-02-03	43.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-03-24	93.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-03-31	77.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-04-07	78.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-04-14	70.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-04-21	60.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-04-28	52.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-05-05	56.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-05-12	53.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-05-19	50.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-05-26	51.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-06-02	44.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-06-09	46.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-06-16	49.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-06-23	42.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-06-30	42.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-07-07	45.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-07-14	42.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-07-21	41.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-07-28	40.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-08-04	39.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-08-11	33.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-08-18	34.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-08-25	38.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-09-01	49.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-09-08	50.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2007-10-13	86.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2007-10-20	67.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2007-10-27	56.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2007-11-03	46.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2007-11-10	39.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2007-11-17	36.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2007-11-24	24.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2007-12-01	28.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2007-12-08	23.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-12-15	44.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2007-12-15	24.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-12-22	30.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2007-12-22	22.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2007-12-29	24.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2007-12-29	21.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2008-01-05	23.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-01-05	26.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2008-01-12	19.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-01-12	17.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2008-01-19	18.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-01-19	16.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2008-01-26	17.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-01-26	20.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2008-02-02	14.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-02-02	16.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2008-02-09	15.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-02-09	24.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2008-02-16	15.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-02-16	31.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2008-02-23	15.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-02-23	29.0
picture to burn	Taylor Swift	2006-10-24	67.0	173066.0	0.658	2008-03-01	91.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2008-03-01	13.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-03-01	30.0
picture to burn	Taylor Swift	2006-10-24	67.0	173066.0	0.658	2008-03-08	83.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2008-03-08	16.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-03-08	35.0
picture to burn	Taylor Swift	2006-10-24	67.0	173066.0	0.658	2008-03-15	73.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2008-03-15	22.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-03-15	39.0
picture to burn	Taylor Swift	2006-10-24	67.0	173066.0	0.658	2008-03-22	64.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2008-03-22	20.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-03-22	39.0
picture to burn	Taylor Swift	2006-10-24	67.0	173066.0	0.658	2008-03-29	55.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2008-03-29	22.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-03-29	39.0
picture to burn	Taylor Swift	2006-10-24	67.0	173066.0	0.658	2008-04-05	51.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2008-04-05	22.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-04-05	39.0
picture to burn	Taylor Swift	2006-10-24	67.0	173066.0	0.658	2008-04-12	45.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2008-04-12	26.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-04-12	33.0
picture to burn	Taylor Swift	2006-10-24	67.0	173066.0	0.658	2008-04-19	44.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2008-04-19	26.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-04-19	28.0
picture to burn	Taylor Swift	2006-10-24	67.0	173066.0	0.658	2008-04-26	36.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2008-04-26	29.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-04-26	28.0
picture to burn	Taylor Swift	2006-10-24	67.0	173066.0	0.658	2008-05-03	29.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2008-05-03	38.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-05-03	28.0
picture to burn	Taylor Swift	2006-10-24	67.0	173066.0	0.658	2008-05-10	29.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2008-05-10	48.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-05-10	31.0
picture to burn	Taylor Swift	2006-10-24	67.0	173066.0	0.658	2008-05-17	28.0
teardrops on my guitar	Taylor Swift	2006-10-24	66.0	203040.0	0.621	2008-05-17	49.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-05-17	29.0
picture to burn	Taylor Swift	2006-10-24	67.0	173066.0	0.658	2008-05-24	36.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-05-24	34.0
picture to burn	Taylor Swift	2006-10-24	67.0	173066.0	0.658	2008-05-31	52.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-05-31	39.0
picture to burn	Taylor Swift	2006-10-24	67.0	173066.0	0.658	2008-06-07	71.0
should've said no	Taylor Swift	2006-10-24	64.0	242200.0	0.476	2008-06-07	84.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-06-07	48.0
picture to burn	Taylor Swift	2006-10-24	67.0	173066.0	0.658	2008-06-14	67.0
should've said no	Taylor Swift	2006-10-24	64.0	242200.0	0.476	2008-06-14	84.0
our song	Taylor Swift	2006-10-24	70.0	201106.0	0.668	2008-06-14	48.0
picture to burn	Taylor Swift	2006-10-24	67.0	173066.0	0.658	2008-06-21	74.0
should've said no	Taylor Swift	2006-10-24	64.0	242200.0	0.476	2008-06-21	75.0
picture to burn	Taylor Swift	2006-10-24	67.0	173066.0	0.658	2008-06-28	80.0
should've said no	Taylor Swift	2006-10-24	64.0	242200.0	0.476	2008-06-28	65.0
picture to burn	Taylor Swift	2006-10-24	67.0	173066.0	0.658	2008-07-05	82.0
should've said no	Taylor Swift	2006-10-24	64.0	242200.0	0.476	2008-07-05	64.0
picture to burn	Taylor Swift	2006-10-24	67.0	173066.0	0.658	2008-07-12	89.0
should've said no	Taylor Swift	2006-10-24	64.0	242200.0	0.476	2008-07-12	55.0
should've said no	Taylor Swift	2006-10-24	64.0	242200.0	0.476	2008-07-19	46.0
should've said no	Taylor Swift	2006-10-24	64.0	242200.0	0.476	2008-07-26	38.0
should've said no	Taylor Swift	2006-10-24	64.0	242200.0	0.476	2008-08-02	34.0
should've said no	Taylor Swift	2006-10-24	64.0	242200.0	0.476	2008-08-09	33.0
should've said no	Taylor Swift	2006-10-24	64.0	242200.0	0.476	2008-08-16	38.0
should've said no	Taylor Swift	2006-10-24	64.0	242200.0	0.476	2008-08-23	37.0
change	Fearless Platinum Edition	2008-11-11	41.0	281053.0	0.548	2008-08-30	10.0
should've said no	Taylor Swift	2006-10-24	64.0	242200.0	0.476	2008-08-30	35.0
change	Fearless Platinum Edition	2008-11-11	41.0	281053.0	0.548	2008-09-06	39.0
should've said no	Taylor Swift	2006-10-24	64.0	242200.0	0.476	2008-09-06	40.0
change	Fearless Platinum Edition	2008-11-11	41.0	281053.0	0.548	2008-09-13	100.0
should've said no	Taylor Swift	2006-10-24	64.0	242200.0	0.476	2008-09-13	51.0
should've said no	Taylor Swift	2006-10-24	64.0	242200.0	0.476	2008-09-20	61.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2008-09-27	16.0
should've said no	Taylor Swift	2006-10-24	64.0	242200.0	0.476	2008-09-27	66.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2008-10-04	5.0
should've said no	Taylor Swift	2006-10-24	64.0	242200.0	0.476	2008-10-04	83.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2008-10-11	9.0
should've said no	Taylor Swift	2006-10-24	64.0	242200.0	0.476	2008-10-11	82.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2008-10-18	13.0
should've said no	Taylor Swift	2006-10-24	64.0	242200.0	0.476	2008-10-18	90.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2008-10-25	14.0
fearless	Fearless Platinum Edition	2008-11-11	46.0	242000.0	0.598	2008-11-01	9.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2008-11-01	14.0
fearless	Fearless Platinum Edition	2008-11-11	46.0	242000.0	0.598	2008-11-08	38.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2008-11-08	15.0
fearless	Fearless Platinum Edition	2008-11-11	46.0	242000.0	0.598	2008-11-15	79.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2008-11-15	16.0
you're not sorry	Fearless Platinum Edition	2008-11-11	43.0	261800.0	0.459	2008-11-15	11.0
fearless	Fearless Platinum Edition	2008-11-11	46.0	242000.0	0.598	2008-11-22	98.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2008-11-22	14.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2008-11-22	12.0
you're not sorry	Fearless Platinum Edition	2008-11-11	43.0	261800.0	0.459	2008-11-22	35.0
forever & always	Fearless Platinum Edition	2008-11-11	45.0	267506.0	0.592	2008-11-29	49.0
fifteen	Fearless Platinum Edition	2008-11-11	46.0	294346.0	0.559	2008-11-29	79.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2008-11-29	18.0
hey stephen	Fearless Platinum Edition	2008-11-11	44.0	254320.0	0.843	2008-11-29	94.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2008-11-29	13.0
breathe	Fearless Platinum Edition	2008-11-11	46.0	263986.0	0.498	2008-11-29	87.0
the way i loved you	Fearless Platinum Edition	2008-11-11	46.0	244240.0	0.436	2008-11-29	72.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2008-12-06	14.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2008-12-06	56.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2008-12-13	12.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2008-12-13	47.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2008-12-20	12.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2008-12-20	52.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2008-12-27	11.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2008-12-27	51.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-01-03	7.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-01-03	48.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-01-10	5.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-01-10	41.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-01-17	4.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-01-17	38.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-01-24	5.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-01-24	37.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-01-31	5.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-01-31	35.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-02-07	5.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-02-07	39.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-02-14	5.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-02-14	40.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-02-21	7.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-02-21	39.0
fifteen	Fearless Platinum Edition	2008-11-11	46.0	294346.0	0.559	2009-02-28	65.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-02-28	7.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-02-28	34.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-03-07	8.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-03-07	34.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-03-14	9.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-03-14	30.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-03-21	12.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-03-21	31.0
you're not sorry	Fearless Platinum Edition	2008-11-11	43.0	261800.0	0.459	2009-03-21	67.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-03-28	13.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-03-28	29.0
you're not sorry	Fearless Platinum Edition	2008-11-11	43.0	261800.0	0.459	2009-03-28	40.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-04-04	13.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-04-04	32.0
you're not sorry	Fearless Platinum Edition	2008-11-11	43.0	261800.0	0.459	2009-04-04	95.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-04-11	15.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-04-11	32.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-04-18	14.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-04-18	39.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-04-25	14.0
white horse	Fearless Platinum Edition	2008-11-11	45.0	234440.0	0.585	2009-04-25	44.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-05-02	16.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-05-09	18.0
fearless	Fearless Platinum Edition	2008-11-11	46.0	242000.0	0.598	2009-05-16	95.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-05-16	18.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-05-16	87.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-05-23	21.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-05-23	50.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-05-30	24.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-05-30	46.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-06-06	34.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-06-06	47.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-06-13	28.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-06-13	41.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-06-20	26.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-06-20	32.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-06-27	26.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-06-27	18.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-07-04	29.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-07-04	16.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-07-11	33.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-07-11	11.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-07-18	38.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-07-18	9.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-07-25	41.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-07-25	6.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-08-01	40.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-08-01	3.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-08-08	42.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-08-08	4.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-08-15	46.0
you belong with me	Fearless Platinum Edition	2008-11-11	52.0	231146.0	0.687	2009-08-15	3.0
love story	Fearless Platinum Edition	2008-11-11	51.0	235280.0	0.618	2009-08-22	46.0
